,CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Female,Gender_Male,Subscription Type_Basic,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Annual,Contract Length_Monthly,Contract Length_Quarterly,Customer Status_active,Customer Status_inactive
0,160831,34,49.0,26,0.0,17.0,890.21,30.0,0,0,1,1,0,0,0,0,1,1,0
1,354435,30,36.0,22,0.0,15.0,954.37,30.0,0,0,1,1,0,0,1,0,0,1,0
2,444576,23,44.0,14,0.0,0.0,674.0,21.0,1,0,1,0,1,0,1,0,0,0,1
3,130847,24,39.0,21,2.0,14.0,775.0,18.0,0,0,1,0,0,1,0,0,1,1,0
4,108121,26,49.0,26,1.0,5.0,679.45,8.0,0,0,1,1,0,0,0,0,1,1,0
5,301090,19,2.0,17,8.0,0.0,754.0,28.0,1,1,0,0,1,0,1,0,0,0,1
6,302075,24,49.0,26,6.0,0.0,750.0,15.0,1,1,0,0,1,0,0,1,0,0,1
7,140302,21,49.0,6,6.0,0.0,553.0,6.0,1,0,1,1,0,0,1,0,0,0,1
8,431332,45,42.0,26,0.0,5.0,868.66,14.0,0,0,1,0,1,0,1,0,0,1,0
9,135193,27,4.0,4,10.0,0.0,208.13,1.0,1,0,1,0,1,0,0,0,1,0,1
10,157554,49,49.0,22,3.0,12.0,707.17,13.0,0,1,0,0,1,0,0,0,1,1,0
11,463693,42,49.0,23,2.0,1.0,705.22,30.0,0,0,1,0,0,1,1,0,0,1,0
12,468959,30,54.0,13,3.0,0.0,522.78,19.0,0,0,1,1,0,0,0,0,1,1,0
13,77242,61,1.0,2,7.0,0.0,561.0,25.0,1,0,1,0,0,1,0,0,1,0,1
14,47897,31,5.0,6,0.0,0.0,961.0,10.0,1,0,1,0,0,1,0,1,0,0,1
15,466346,43,11.0,24,0.0,15.0,566.46,11.0,0,1,0,0,1,0,0,0,1,1,0
16,425810,20,36.0,5,0.0,4.0,602.68,9.0,0,0,1,0,0,1,0,0,1,1,0
17,66528,33,26.0,29,7.0,0.0,230.0,10.0,1,1,0,1,0,0,0,1,0,0,1
18,320865,46,49.0,8,2.0,9.0,551.74,10.0,0,1,0,0,0,1,0,0,1,1,0
